statistic,player,team,value,year
Batting Average,Miguel Cabrera,Detroit,.330,2012
Doubles,Alex Gordon,Kansas City,51,2012
Hits,Derek Jeter,New York,216,2012
Home Runs,Miguel Cabrera,Detroit,44,2012
On Base Percentage,Joe Mauer,Minnesota,.416,2012
RBI,Miguel Cabrera,Detroit,139,2012
Runs,Mike Trout,Los Angeles,129,2012
Slugging Average,Miguel Cabrera,Detroit,.606,2012
Stolen Bases,Mike Trout,Los Angeles,49,2012
Total Bases,Miguel Cabrera,Detroit,377,2012
Triples,Austin Jackson,Detroit,10,2012
Complete Games,Justin Verlander,Detroit,6,2012
ERA,David Price,Tampa Bay,2.56,2012
Games,Boone Logan,New York,80,2012
Saves,Jim Johnson,Baltimore,51,2012
Shutouts,Felix Hernandez,Seattle,5,2012
Strikeouts,Justin Verlander,Detroit,239,2012
Winning Percentage,David Price,Tampa Bay,.800,2012
Winning Percentage,Jered Weaver,Los Angeles,.800,2012
Wins,David Price,Tampa Bay,20,2012
Wins,Jered Weaver,Los Angeles,20,2012
Base on Balls,Mike Trout,Los Angeles,110,2013
Batting Average,Miguel Cabrera,Detroit,.348,2013
Doubles,Manny Machado,Baltimore,51,2013
Hits,Adrian Beltre,Texas,199,2013
Home Runs,Chris Davis,Baltimore,53,2013
On Base Percentage,Miguel Cabrera,Detroit,.442,2013
RBI,Chris Davis,Baltimore,138,2013
Runs,Mike Trout,Los Angeles,109,2013
Slugging Average,Miguel Cabrera,Detroit,.636,2013
Stolen Bases,Jacoby Ellsbury,Boston,52,2013
Total Bases,Chris Davis,Baltimore,370,2013
Triples,Brett Gardner,New York,10,2013
Complete Games,David Price,Tampa Bay,4,2013
Complete Games,Chris Sale,Chicago,4,2013
ERA,Anibal Sanchez,Detroit,2.57,2013
Games,Joel Peralta,Tampa Bay,80,2013
Saves,Jim Johnson,Baltimore,50,2013
Shutouts,Bartolo Colon,Oakland,3,2013
Shutouts,Justin Masterson,Cleveland,3,2013
Strikeouts,Yu Darvish,Texas,277,2013
Winning Percentage,Max Scherzer,Detroit,.875,2013
Wins,Max Scherzer,Detroit,21,2013
Base on Balls,Carlos Santana,Cleveland,113,2014
Batting Average,Jose Altuve,Houston,.341,2014
Doubles,Miguel Cabrera,Detroit,52,2014
Hits,Jose Altuve,Houston,225,2014
Home Runs,Nelson Cruz,Baltimore,40,2014
On Base Percentage,Victor Martinez,Detroit,.409,2014
RBI,Mike Trout,Los Angeles,111,2014
Runs,Mike Trout,Los Angeles,115,2014
Slugging Average,Jose Abreu,Chicago,.581,2014
Stolen Bases,Jose Altuve,Chicago,56,2014
Total Bases,Mike Trout,Los Angeles,338,2014
Triples,Michael Bourn,Cleveland,10,2014
Triples,Adam Eaton,Chicago,10,2014
Complete Games,Dallas Keuchel,Houston,5,2014
ERA,Felix Hernandez,Seattle,2.14,2014
Games,Bryan Shaw,Cleveland,80,2014
Saves,Fernando Rodney,Seattle,48,2014
Shutouts,Rick Porcello,Detroit,3,2014
Strikeouts,David Price,Tampa Bay / Detroit,271,2014
Winning Percentage,Max Scherzer,Detroit,.783,2014
Wins,Corey Kluber,Texas,18,2014
Wins,Max Scherzer,Detroit,18,2014
Wins,Jered Weaver,Los Angeles,18,2014
Base on Balls,Jose Bautista,Toronto,110,2015
Batting Average,Miguel Cabrera,Detroit,.338,2015
Doubles,Michael Brantley,Cleveland,45,2015
